Geneid	MK_rep2
NM_001024952	1
NM_080844	0
MSTRG.7.1	0
MSTRG.8.1	0
MSTRG.1.1	0
MSTRG.9.1	0
MSTRG.26.1	0
MSTRG.27.1	0
NR_002840	0
NR_028543	0
MSTRG.20.2	0
MSTRG.20.1	0
NR_131029	0
NR_131030	0
NR_131028	0
NM_001159930	0
MSTRG.22.1	3
MSTRG.23.1	0
MSTRG.31.1	0
MSTRG.32.1	5
MSTRG.32.2	0
MSTRG.33.1	0
MSTRG.34.1	1
NM_173424	0
MSTRG.28.1	0
MSTRG.28.2	0
MSTRG.28.3	0
NM_172644	0
MSTRG.3.1	3
MSTRG.4.1	0
MSTRG.5.1	0
NM_001039482	0
MSTRG.24.1	7
NM_199028	0
MSTRG.11.1	6
NM_009846	0
NR_033558	0
MSTRG.14.1	1
MSTRG.14.2	1
MSTRG.16.1	0
MSTRG.17.1	5
MSTRG.18.1	0
MSTRG.6.1	18
NM_026411	0
MSTRG.12.1	6
MSTRG.37.1	0
MSTRG.39.1	0
NM_030093	2
MSTRG.41.2	0
MSTRG.41.1	0
MSTRG.41.3	0
MSTRG.42.1	0
MSTRG.42.2	0
MSTRG.43.1	0
MSTRG.43.2	0
NM_010822	0
MSTRG.46.1	149
NM_010405	0
NM_001083955	4
NM_001033981	0
NM_175000	0
NM_177364	0
NM_172799	1
MSTRG.47.1	0
NM_008267	0
MSTRG.59.3	0
MSTRG.59.4	0
MSTRG.59.1	0
MSTRG.59.2	0
NR_108029	0
NR_037977	0
NR_029721	0
NM_008270	0
NM_010461	0
NM_010460	0
MSTRG.62.1	0
MSTRG.62.2	0
MSTRG.62.3	0
NM_008374	0
NM_001134458	0
MSTRG.36.1	19
NM_010117	0
NM_001291818	0
MSTRG.45.1	0
MSTRG.45.2	0
NR_104306	0
NM_181569	0
NM_001284360	0
NM_001284359	0
MSTRG.52.1	0
MSTRG.52.5	0
MSTRG.52.3	1
MSTRG.52.2	0
MSTRG.52.4	64
MSTRG.52.7	1
MSTRG.52.6	0
NM_001271018	0
MSTRG.48.1	1
MSTRG.50.1	0
MSTRG.60.1	0
MSTRG.55.1	0
MSTRG.56.1	22
MSTRG.58.1	0
NR_131758	0
MSTRG.63.1	0
NM_001177354	7
NR_003368	0
NR_132747	0
NR_132746	0
MSTRG.68.1	0
MSTRG.69.1	2
MSTRG.70.1	0
MSTRG.71.1	3
NM_010463	0
NM_001024842	0
NM_010462	0
NR_029722	0
MSTRG.77.1	0
NM_008272	0
MSTRG.78.2	0
NM_010466	0
MSTRG.81.1	0
NM_010465	0
MSTRG.80.1	0
NM_175730	0
NR_030526	0
MSTRG.89.1	0
NM_013553	0
MSTRG.92.1	0
MSTRG.65.3	0
MSTRG.65.2	0
MSTRG.65.1	0
MSTRG.66.1	2
NR_047528	0
MSTRG.73.1	0
MSTRG.79.1	4
MSTRG.74.1	0
MSTRG.75.1	1
MSTRG.82.2	0
MSTRG.82.1	0
MSTRG.82.3	0
MSTRG.82.5	0
MSTRG.82.4	0
MSTRG.82.6	0
MSTRG.87.1	0
MSTRG.88.1	0
MSTRG.90.1	0
MSTRG.85.1	0
MSTRG.84.1	0
MSTRG.91.1	1
MSTRG.95.1	1
MSTRG.97.1	0
MSTRG.97.2	0
MSTRG.93.1	1
NR_045743	0
MSTRG.94.1	0
NM_007757	2
NM_171826	0
NM_001252451	0
NM_001252450	0
NM_172469	0
MSTRG.108.1	15
MSTRG.110.1	49
MSTRG.111.1	2
MSTRG.112.1	2
MSTRG.113.1	3946
MSTRG.104.1	21
